person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26,62004,RENT,9,DEBTCONSOLIDATION,A,24000,7.9,1,0.39,N,3
25,66143,RENT,9,EDUCATION,A,24000,6.99,1,0.36,N,3
25,95000,RENT,4,EDUCATION,A,24000,8.9,0,0.25,N,2
25,95000,RENT,9,VENTURE,A,24000,6.54,0,0.25,N,4
26,100000,RENT,5,PERSONAL,C,24000,12.73,0,0.24,N,4
26,103872,RENT,6,DEBTCONSOLIDATION,G,24000,20.03,1,0.23,N,4
26,108000,RENT,9,EDUCATION,G,24000,20.16,1,0.22,N,3
25,135000,RENT,8,PERSONAL,B,24000,10.99,0,0.18,N,2
26,155000,RENT,7,DEBTCONSOLIDATION,B,24000,10.99,0,0.15,N,4
25,102000,RENT,9,DEBTCONSOLIDATION,C,23600,13.49,0,0.23,N,4
25,63208,RENT,9,EDUCATION,B,23000,9.91,1,0.36,N,3
25,43000,RENT,9,HOMEIMPROVEMENT,C,22000,13.11,1,0.51,N,2
25,52000,RENT,4,PERSONAL,B,22000,10.74,1,0.42,N,2
25,18840,MORTGAGE,5,EDUCATION,B,3000,9.91,1,0.16,N,2
26,56000,RENT,7,MEDICAL,E,22000,17.19,1,0.39,N,3
26,82600,RENT,10,VENTURE,B,22000,12.69,0,0.27,N,2
25,77650,RENT,8,PERSONAL,B,22000,11.48,1,0.28,N,3
25,57000,RENT,4,PERSONAL,B,21700,11.99,1,0.38,N,2
25,19200,OWN,4,EDUCATION,B,3000,11.99,1,0.16,N,4
25,60000,RENT,5,EDUCATION,A,21450,7.29,1,0.36,N,4
25,47052,RENT,5,VENTURE,B,21250,10.99,1,0.45,N,2
25,51060,RENT,9,VENTURE,A,21250,6.91,1,0.42,N,2
26,19200,MORTGAGE,5,VENTURE,A,4000,7.51,1,0.21,N,4
26,65219,RENT,11,DEBTCONSOLIDATION,D,21000,14.09,1,0.32,N,3
25,62047,RENT,9,MEDICAL,E,21000,16.32,1,0.29,Y,4
26,81000,RENT,10,EDUCATION,E,21000,16.95,1,0.26,Y,3
26,125000,RENT,5,HOMEIMPROVEMENT,A,21000,8.9,0,0.17,N,2
25,125000,RENT,9,EDUCATION,C,21000,12.99,0,0.17,Y,3
26,50000,RENT,7,VENTURE,A,20500,7.49,1,0.41,N,3
26,26000,RENT,10,EDUCATION,B,20050,9.76,1,0.77,N,2
25,38000,RENT,4,MEDICAL,D,20000,14.59,1,0.53,N,4
25,38004,RENT,6,MEDICAL,C,20000,13.11,1,0.53,N,2
25,38556,RENT,9,PERSONAL,C,20000,11.22,1,0.52,Y,4
25,34000,RENT,10,HOMEIMPROVEMENT,B,20000,8.88,1,0.59,N,4
26,20000,MORTGAGE,5,MEDICAL,A,4800,5.99,0,0.24,N,3
25,38000,RENT,9,MEDICAL,B,20000,11.11,1,0.53,N,4
25,50000,RENT,10,DEBTCONSOLIDATION,A,20000,7.49,1,0.4,N,3
25,50000,RENT,9,EDUCATION,C,20000,13.43,1,0.4,N,2
25,50950,RENT,5,HOMEIMPROVEMENT,B,20000,11.48,1,0.39,N,3
25,51996,RENT,9,VENTURE,B,20000,10.99,1,0.38,N,3
25,46000,RENT,9,DEBTCONSOLIDATION,C,20000,11.78,1,0.43,Y,2
26,54996,RENT,8,EDUCATION,B,20000,12.18,1,0.36,N,4
26,59000,RENT,10,MEDICAL,A,20000,6.17,1,0.34,N,3
26,20280,MORTGAGE,5,HOMEIMPROVEMENT,A,7000,8,0,0.35,N,2
25,54000,RENT,6,PERSONAL,B,20000,8.88,1,0.37,N,3
25,62400,RENT,7,VENTURE,B,20000,11.48,1,0.32,N,2
26,65004,RENT,7,DEBTCONSOLIDATION,B,20000,11.99,1,0.31,N,2
26,68000,RENT,10,EDUCATION,B,20000,10.75,0,0.29,N,4
25,68000,RENT,4,PERSONAL,C,20000,12.53,0,0.29,Y,4
25,70000,RENT,5,HOMEIMPROVEMENT,B,20000,9.99,0,0.29,N,2
25,71004,RENT,9,PERSONAL,D,20000,14.09,0,0.28,N,2
25,21221,MORTGAGE,4,VENTURE,B,8500,9.63,0,0.4,N,4
26,75000,RENT,5,MEDICAL,A,20000,6.91,0,0.27,N,4
26,21600,OWN,5,EDUCATION,B,5200,12.42,0,0.24,N,3
26,70000,RENT,7,DEBTCONSOLIDATION,C,20000,13.16,1,0.29,N,3
26,78000,RENT,8,HOMEIMPROVEMENT,C,20000,13.85,0,0.26,Y,4
25,80000,RENT,7,EDUCATION,B,20000,8.88,0,0.25,N,4
25,80004,RENT,9,HOMEIMPROVEMENT,C,20000,14.26,0,0.25,Y,4
25,84000,RENT,9,EDUCATION,C,20000,13.92,0,0.24,N,2
26,90000,RENT,10,MEDICAL,B,20000,11.49,0,0.22,N,3
25,22000,MORTGAGE,9,EDUCATION,A,5875,6.62,1,0.27,N,2
25,92407,RENT,9,MEDICAL,B,20000,9.25,0,0.22,N,2
26,22000,OWN,6,VENTURE,B,7500,10.96,0,0.34,N,2
25,100000,RENT,9,HOMEIMPROVEMENT,C,20000,13.06,0,0.2,N,2
25,100000,RENT,9,HOMEIMPROVEMENT,C,20000,13.06,0,0.2,Y,2
25,22260,MORTGAGE,9,PERSONAL,A,6400,7.88,0,0.29,N,4
25,85000,RENT,7,MEDICAL,E,20000,17.39,1,0.2,N,2
26,130000,RENT,10,DEBTCONSOLIDATION,C,20000,13.11,0,0.15,Y,4
25,140000,RENT,9,EDUCATION,A,20000,6.54,0,0.14,N,4
25,58000,RENT,9,MEDICAL,B,19900,11.83,1,0.34,N,4
26,116000,RENT,10,MEDICAL,B,19800,11.48,0,0.17,N,4
25,47000,RENT,4,MEDICAL,B,19000,11.99,1,0.4,N,2
26,47500,RENT,10,PERSONAL,E,19000,16.7,1,0.4,Y,4
26,62004,RENT,5,MEDICAL,A,19000,7.49,1,0.31,N,2
26,96000,RENT,6,PERSONAL,C,19000,13.22,0,0.2,Y,2
26,55000,RENT,7,DEBTCONSOLIDATION,A,18800,6.99,1,0.34,N,2
25,46000,RENT,8,DEBTCONSOLIDATION,C,18250,14.26,1,0.4,N,3
25,55044,RENT,4,VENTURE,E,18250,17.56,1,0.33,N,2
26,50000,RENT,5,EDUCATION,C,18000,13.11,1,0.36,N,3
25,52526,RENT,9,VENTURE,B,18000,12.21,1,0.34,N,2
26,24000,MORTGAGE,10,MEDICAL,A,5000,7.66,1,0.21,N,3
25,65000,RENT,9,HOMEIMPROVEMENT,C,18000,13.99,0,0.28,N,3
25,66000,RENT,9,EDUCATION,B,18000,10.25,0,0.27,N,3
25,54400,RENT,10,MEDICAL,E,18000,16,1,0.28,Y,2
25,70200,RENT,9,EDUCATION,E,18000,16.45,0,0.26,N,2
26,71820,RENT,10,DEBTCONSOLIDATION,B,18000,11.83,0,0.25,N,2
26,78000,RENT,6,EDUCATION,C,18000,13.49,0,0.23,N,2
26,24000,MORTGAGE,5,PERSONAL,C,2100,13.11,0,0.09,N,3
25,84000,RENT,5,HOMEIMPROVEMENT,B,18000,9.88,0,0.21,N,3
26,86000,RENT,10,VENTURE,A,18000,8.49,0,0.21,N,2
26,95000,RENT,9,HOMEIMPROVEMENT,D,18000,15.31,0,0.19,N,3
26,116004,RENT,6,VENTURE,B,18000,11.83,0,0.16,N,4
25,24000,OWN,4,MEDICAL,B,5000,10.95,0,0.21,N,3
26,24000,MORTGAGE,5,PERSONAL,B,8000,9.76,0,0.33,N,3
25,44000,RENT,6,EDUCATION,B,17500,12.53,1,0.4,N,4
26,60000,RENT,10,VENTURE,A,17500,6.54,0,0.29,N,4
26,75000,RENT,4,PERSONAL,A,17500,7.9,0,0.23,N,2
25,49896,RENT,7,EDUCATION,E,17000,16.82,1,0.34,N,3
25,52000,RENT,9,MEDICAL,C,17000,12.98,1,0.33,Y,2
26,95000,RENT,10,EDUCATION,B,17000,11.49,0,0.18,N,3
26,25000,MORTGAGE,10,MEDICAL,A,7000,6.99,0,0.28,N,2
26,97000,RENT,11,HOMEIMPROVEMENT,B,16800,12.42,0,0.17,N,3
26,97000,RENT,4,MEDICAL,A,16800,6.17,0,0.17,N,4
25,25000,OWN,5,HOMEIMPROVEMENT,C,2000,14.17,0,0.08,N,3
26,45000,RENT,10,MEDICAL,C,16750,12.41,1,0.37,N,3
26,70000,RENT,9,MEDICAL,C,16525,13.92,0,0.24,Y,2
25,98400,RENT,4,PERSONAL,D,16525,15.28,0,0.17,Y,3
26,25000,OWN,7,VENTURE,A,11500,7.88,0,0.46,N,3
26,47000,RENT,5,PERSONAL,B,16250,12.42,1,0.35,N,4
25,38000,RENT,8,MEDICAL,C,16000,12.87,1,0.42,Y,3
25,39000,RENT,6,VENTURE,D,16000,15.65,1,0.41,Y,3
25,25000,OWN,7,MEDICAL,B,1525,10.95,0,0.06,N,2
25,39000,RENT,9,MEDICAL,D,16000,14.11,1,0.41,Y,2
25,25200,OWN,5,HOMEIMPROVEMENT,D,1200,15.99,0,0.05,Y,3
25,52000,RENT,9,EDUCATION,C,16000,13.98,1,0.31,N,3
26,60000,RENT,10,DEBTCONSOLIDATION,A,16000,7.49,0,0.27,N,2
26,25500,MORTGAGE,8,HOMEIMPROVEMENT,C,5600,11.91,0,0.22,N,4
25,25568,MORTGAGE,7,EDUCATION,C,12000,13.47,1,0.47,Y,2
25,66000,RENT,6,HOMEIMPROVEMENT,B,16000,10,0,0.24,N,4
26,74000,RENT,4,HOMEIMPROVEMENT,D,16000,14.84,0,0.22,Y,3
26,74999,RENT,4,HOMEIMPROVEMENT,D,16000,17.27,0,0.21,Y,4
26,26000,MORTGAGE,7,HOMEIMPROVEMENT,B,7000,10.99,0,0.27,N,4
25,23712,RENT,9,MEDICAL,B,1000,11.49,0,0.04,N,2
25,28000,RENT,6,DEBTCONSOLIDATION,A,1000,7.51,0,0.04,N,3
25,30035,RENT,9,MEDICAL,C,1000,12.87,0,0.03,Y,2
26,26004,MORTGAGE,5,HOMEIMPROVEMENT,B,6000,11.99,0,0.23,N,2
25,33600,RENT,5,DEBTCONSOLIDATION,B,1000,11.86,0,0.03,N,2
25,35000,RENT,9,VENTURE,B,1000,11.99,0,0.03,N,3
26,38000,RENT,6,PERSONAL,C,1000,15.27,0,0.03,Y,3
25,26400,MORTGAGE,5,MEDICAL,C,5975,12.99,0,0.23,Y,4
26,26400,MORTGAGE,10,PERSONAL,C,8500,13.23,0,0.32,Y,3
26,54000,RENT,10,PERSONAL,B,1000,11.71,0,0.02,N,3
25,26453,MORTGAGE,6,MEDICAL,B,7200,11.71,1,0.27,N,4
25,16800,RENT,4,MEDICAL,B,1200,10.38,0,0.07,N,2
25,40000,RENT,5,PERSONAL,A,1200,8,0,0.03,N,4
25,43000,RENT,9,MEDICAL,A,1200,8.49,0,0.03,N,2
25,48000,RENT,4,EDUCATION,C,1200,12.68,0,0.03,N,4
26,50000,RENT,10,VENTURE,A,1300,6.99,0,0.03,N,3
25,27048,OTHER,9,MEDICAL,D,8000,15.05,1,0.3,Y,2
25,89000,RENT,4,VENTURE,B,1300,10.59,0,0.01,N,4
26,27138,MORTGAGE,10,DEBTCONSOLIDATION,B,2750,9.63,0,0.1,N,2
25,51500,RENT,5,VENTURE,C,1325,14.79,0,0.03,N,3
25,30000,RENT,4,MEDICAL,C,1400,13.11,0,0.05,N,2
26,35652,RENT,5,DEBTCONSOLIDATION,B,1400,11.49,1,0.04,N,4
26,55560,RENT,5,MEDICAL,C,1450,14.27,0,0.03,N,3
26,27983,MORTGAGE,7,DEBTCONSOLIDATION,A,6000,7.88,0,0.21,N,3
25,31200,RENT,9,VENTURE,B,1500,11.12,0,0.05,N,2
25,33000,RENT,5,VENTURE,B,1500,11.48,0,0.05,N,4
26,33600,RENT,6,MEDICAL,F,1500,19.41,0,0.04,N,4
25,34942,RENT,7,PERSONAL,B,1500,10.99,0,0.04,N,4
25,33996,RENT,8,MEDICAL,E,1500,16.82,1,0.04,N,4
26,51996,RENT,10,VENTURE,C,1500,13.85,0,0.03,Y,4
25,28000,OWN,4,VENTURE,B,12200,12.53,0,0.44,N,4
26,28000,OWN,5,PERSONAL,D,4000,15.37,0,0.14,N,3
25,28000,MORTGAGE,9,MEDICAL,A,4000,7.68,0,0.14,N,2
26,28800,OWN,8,EDUCATION,A,6000,8.9,0,0.21,N,3
26,9840,RENT,5,VENTURE,B,1750,9.99,1,0.18,N,4
26,45000,RENT,5,MEDICAL,D,1800,14.11,0,0.04,Y,2
25,28800,MORTGAGE,9,HOMEIMPROVEMENT,B,6250,10.25,0,0.22,N,2
25,42000,RENT,4,EDUCATION,A,1925,6.17,0,0.05,N,4
26,14400,RENT,4,PERSONAL,B,2000,10.37,0,0.14,N,2
26,29000,MORTGAGE,10,HOMEIMPROVEMENT,A,7200,8.49,0,0.25,N,4
25,18000,RENT,4,DEBTCONSOLIDATION,A,2000,7.51,1,0.11,N,4
25,24000,RENT,4,MEDICAL,D,2000,16.59,0,0.08,N,2
25,29328,MORTGAGE,9,DEBTCONSOLIDATION,A,10000,7.74,0,0.34,N,3
25,26000,RENT,7,MEDICAL,C,2000,12.99,0,0.08,Y,4
25,95000,RENT,4,VENTURE,B,15000,12.42,0,0.16,N,2
25,30000,MORTGAGE,9,VENTURE,A,5000,6.03,0,0.17,N,3
25,30000,MORTGAGE,4,DEBTCONSOLIDATION,C,6500,14.27,0,0.22,N,3
26,84000,RENT,7,DEBTCONSOLIDATION,D,15000,16,1,0.18,Y,3
25,96000,RENT,5,MEDICAL,B,15000,11.58,0,0.16,N,4
25,97440,RENT,9,EDUCATION,A,15000,7.49,0,0.15,N,4
26,100000,RENT,5,VENTURE,C,15000,13.49,0,0.15,Y,4
26,100000,RENT,5,EDUCATION,A,15000,6.99,0,0.15,N,2
25,30000,MORTGAGE,5,EDUCATION,B,3600,12.42,0,0.12,N,4
25,108820,RENT,4,EDUCATION,B,15000,9.63,0,0.14,N,3
26,210000,RENT,4,PERSONAL,C,15000,12.99,0,0.07,N,4
26,30000,MORTGAGE,10,VENTURE,A,6500,6.62,0,0.22,N,3
25,31500,RENT,8,DEBTCONSOLIDATION,A,14850,8.9,1,0.47,N,4
25,28800,RENT,6,MEDICAL,A,14800,7.49,1,0.51,N,3
26,30000,RENT,9,VENTURE,B,2000,11.49,0,0.07,N,3
25,30000,RENT,4,MEDICAL,C,2000,14.22,0,0.07,Y,4
26,32000,RENT,5,DEBTCONSOLIDATION,B,2000,11.49,0,0.06,N,3
25,57000,RENT,8,MEDICAL,B,2000,11.36,0,0.04,N,2
26,57450,RENT,4,MEDICAL,C,2000,13.35,0,0.03,Y,2
25,58020,RENT,9,PERSONAL,A,2000,6.91,0,0.03,N,4
26,30000,MORTGAGE,5,HOMEIMPROVEMENT,B,2000,11.99,1,0.07,N,2
25,80000,RENT,9,VENTURE,B,2000,11.49,0,0.03,N,3
25,89100,RENT,9,VENTURE,C,2000,13.49,0,0.02,Y,3
25,101424,RENT,6,DEBTCONSOLIDATION,A,2000,7.29,0,0.02,N,4
26,108000,RENT,5,EDUCATION,D,2000,16.29,0,0.02,N,4
25,44400,RENT,4,PERSONAL,D,2100,17.27,0,0.05,N,4
26,57600,RENT,10,DEBTCONSOLIDATION,D,2150,15.62,1,0.04,Y,3
26,32400,RENT,10,EDUCATION,A,14000,7.51,1,0.43,N,4
25,27500,RENT,4,MEDICAL,B,2200,12.53,0,0.08,N,4
25,38400,RENT,5,DEBTCONSOLIDATION,B,2200,12.69,0,0.06,N,3
25,30000,MORTGAGE,4,DEBTCONSOLIDATION,A,9000,7.51,0,0.3,N,4
26,42000,RENT,4,DEBTCONSOLIDATION,B,2250,10.38,0,0.05,N,4
26,36400,RENT,4,EDUCATION,A,2300,7.4,0,0.06,N,2
25,62400,RENT,7,MEDICAL,B,2300,11.71,0,0.04,N,3
25,44400,RENT,6,EDUCATION,C,2350,13.98,0,0.05,Y,3
25,30000,MORTGAGE,6,PERSONAL,A,4000,7.14,0,0.13,N,2
25,28000,RENT,8,EDUCATION,B,2400,11.49,0,0.09,N,3
25,30720,RENT,4,MEDICAL,A,2400,7.9,0,0.08,N,3
25,40000,RENT,9,EDUCATION,A,2400,5.42,0,0.06,N,3
25,30000,MORTGAGE,9,VENTURE,A,8000,9.32,0,0.27,N,4
25,44000,RENT,5,MEDICAL,A,2400,7.66,0,0.05,N,4
26,54500,RENT,7,EDUCATION,A,2400,9.32,0,0.04,N,3
25,60000,RENT,6,VENTURE,B,2400,11.49,0,0.04,N,3
26,67000,RENT,4,MEDICAL,C,2400,12.99,0,0.04,Y,2
25,87999,RENT,5,PERSONAL,C,2400,14.79,1,0.03,Y,4
25,30200,MORTGAGE,9,HOMEIMPROVEMENT,B,15000,10.2,0,0.5,N,2
25,53000,RENT,10,DEBTCONSOLIDATION,A,13500,6.99,0,0.25,N,3
25,60000,RENT,9,DEBTCONSOLIDATION,A,13500,7.49,0,0.23,N,2
26,71000,RENT,5,MEDICAL,B,13500,12.69,0,0.19,N,3
26,77508,RENT,10,VENTURE,C,13500,12.87,0,0.17,Y,2
25,30576,MORTGAGE,5,DEBTCONSOLIDATION,A,10000,6.03,0,0.33,N,4
26,37500,RENT,6,DEBTCONSOLIDATION,C,13250,13.49,1,0.35,Y,3
26,35000,RENT,5,VENTURE,C,13225,13.49,1,0.38,Y,3
26,31000,MORTGAGE,9,HOMEIMPROVEMENT,A,15000,7.9,1,0.48,N,4
25,76000,RENT,4,EDUCATION,C,13200,12.23,0,0.17,N,4
26,80952,RENT,6,EDUCATION,D,13200,16.77,0,0.16,N,4
25,31000,MORTGAGE,7,HOMEIMPROVEMENT,A,6000,7.66,0,0.19,N,2
25,31000,MORTGAGE,4,VENTURE,B,10000,10.38,0,0.32,N,4
26,28000,RENT,10,MEDICAL,D,13000,16.29,1,0.46,Y,3
25,28000,RENT,10,PERSONAL,A,13000,7.9,1,0.46,N,3
26,33800,RENT,4,EDUCATION,C,13000,13.57,1,0.38,N,4
25,35000,RENT,5,MEDICAL,C,13000,13.22,1,0.37,N,2
26,31000,MORTGAGE,5,EDUCATION,B,4000,10.33,0,0.13,N,2
26,31200,MORTGAGE,6,PERSONAL,A,9250,7.9,0,0.3,N,2
25,40000,RENT,9,PERSONAL,B,13000,10.99,1,0.33,N,3
25,31200,MORTGAGE,9,HOMEIMPROVEMENT,D,2400,17.58,1,0.08,Y,4
26,36000,RENT,6,DEBTCONSOLIDATION,A,13000,5.99,1,0.36,N,4
25,31200,MORTGAGE,9,DEBTCONSOLIDATION,A,6000,5.79,0,0.19,N,4
26,31200,MORTGAGE,4,HOMEIMPROVEMENT,A,8400,7.51,0,0.27,N,3
25,21600,RENT,4,EDUCATION,A,2500,5.99,0,0.12,N,3
26,22406,RENT,5,PERSONAL,A,2500,6.76,1,0.11,N,4
25,24996,RENT,8,VENTURE,C,2500,12.98,0,0.1,N,4
25,27024,RENT,7,EDUCATION,E,2500,16.69,0,0.09,N,2
26,27200,RENT,4,DEBTCONSOLIDATION,C,2500,13.49,0,0.09,N,4
26,31200,RENT,4,VENTURE,B,2500,10.37,0,0.08,N,3
25,33000,RENT,6,DEBTCONSOLIDATION,B,2500,10.59,0,0.08,N,2
25,38060,RENT,9,DEBTCONSOLIDATION,B,2500,12.53,0,0.07,N,2
25,32000,MORTGAGE,8,DEBTCONSOLIDATION,A,5600,7.9,0,0.17,N,3
25,36228,RENT,4,MEDICAL,A,2500,7.66,1,0.07,N,2
25,45000,RENT,5,MEDICAL,B,2500,12.69,0,0.06,N,4
26,46000,RENT,10,DEBTCONSOLIDATION,A,2500,8.49,0,0.05,N,4
26,47004,RENT,9,MEDICAL,D,2500,15.65,0,0.05,Y,3
26,32000,MORTGAGE,4,EDUCATION,A,4900,5.99,0,0.15,N,3
26,52000,RENT,6,DEBTCONSOLIDATION,C,2500,14.82,0,0.05,Y,2
25,54000,RENT,4,PERSONAL,C,2500,13.98,0,0.05,N,2
26,48996,RENT,8,DEBTCONSOLIDATION,D,2500,14.59,1,0.05,N,2
25,55000,RENT,4,PERSONAL,A,2500,7.88,0,0.05,N,2
25,32000,MORTGAGE,7,PERSONAL,B,3250,10.74,1,0.1,N,2
25,60000,RENT,9,PERSONAL,A,2500,8.63,0,0.04,N,3
26,32000,MORTGAGE,7,VENTURE,C,4800,12.61,0,0.15,Y,3
25,65004,RENT,10,MEDICAL,B,2500,10.08,0,0.04,N,2
26,82400,RENT,10,VENTURE,C,2500,13.92,0,0.03,N,3
26,200004,RENT,7,MEDICAL,C,2500,13.61,0,0.01,Y,2
25,32400,MORTGAGE,9,PERSONAL,C,10000,13.99,0,0.31,Y,3
26,32450,MORTGAGE,5,MEDICAL,A,3250,6.99,0,0.1,N,4
26,32500,MORTGAGE,8,MEDICAL,C,3000,13.22,0,0.09,N,4
25,32760,MORTGAGE,6,VENTURE,B,6000,10.59,0,0.18,N,2
25,33000,MORTGAGE,6,EDUCATION,A,8000,6.62,0,0.24,N,4
25,30000,RENT,4,HOMEIMPROVEMENT,B,3000,12.21,1,0.1,N,4
25,33000,MORTGAGE,9,MEDICAL,B,3000,11.99,0,0.09,N,2
25,33000,MORTGAGE,9,VENTURE,A,5000,8.49,0,0.15,N,3
26,32640,RENT,7,VENTURE,B,3000,10.75,0,0.09,N,2
26,33000,RENT,7,MEDICAL,A,3000,5.99,0,0.09,N,4
25,33000,RENT,6,PERSONAL,B,3000,10.95,0,0.09,N,4
26,33189,RENT,4,EDUCATION,B,3000,11.12,0,0.09,N,2
25,29000,RENT,9,MEDICAL,A,3000,6.62,1,0.1,N,2
25,33000,MORTGAGE,4,EDUCATION,A,4400,8,0,0.13,N,3
